Site ID,Visit Date,Visit Type,Summary
DC22224,03/21/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.
DC2027,12/18/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC5090,12/18/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC20555,02/04/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC11899,04/10/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service teaching staff acting as assistant teachers do not meet age and educational requirements.
DC3070,05/01/2014,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC961,05/07/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC14772,12/05/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC20062,05/15/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide constant and competent supervision for children within its care.
DC14404,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14175,05/14/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2643,04/01/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1187,05/28/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.
DC2408,10/24/2013,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC20033,03/06/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC1135,04/16/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC21753,04/03/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC17130,03/24/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.
DC2840,02/12/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.
DC12223,03/06/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC25663,02/25/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC2111,04/10/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.
DC1980,10/30/2013,PUBLIC HEALTH SANITATION INSPECTION,Fire extinguishers observed not to be inspected or maintained at time of inspection.
DC2655,09/10/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was observed in the child care service that a bathroom/closet or other enclosed space has a locking mechanism solely operable from inside the space.
DC1523,05/05/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC15139,05/06/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC17883,03/07/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to provide or maintain record of staff immunizations.
DC1116,03/25/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1831,03/27/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service failed to designate/identify a qualified Education Director.
DC14857,02/10/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.
DC620,05/28/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Permittee failed to submit permit renewal application at least 90 days prior to permit expiration date.
DC3111,06/03/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC16933,03/17/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.
DC14505,04/16/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC20590,05/28/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC20687,No visit found in database.,,
DC22552,12/17/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC10481,02/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC15616,05/08/2014,PUBLIC HEALTH SANITATION INSPECTION,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.
DC16811,05/08/2014,PUBLIC HEALTH SANITATION INSPECTION,Child care service fails to provide/maintain fire alarm when required.
DC1155,05/05/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC1164,05/05/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC15271,10/28/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection hallways and other means of egress were observed obstructed and impassable.
DC18804,10/01/2013,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC1500,04/24/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service failed to provide sufficient number of toilets and sinks for the number of children in attendance.
DC2026,05/01/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.
DC25095,06/04/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC18898,05/01/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC14291,01/15/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC747,05/02/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.
DC2198,03/05/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19634,01/08/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC14287,12/04/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC962,12/18/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC22513,02/27/2014,EARLY CHILDHOOD EDUCATION CONSULTANT VISIT,There were no new violations observed at the time of this inspection/visit.
DC24683,11/19/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC2981,02/19/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.
DC1229,10/29/2013,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
DC19051,03/20/2014,PUBLIC HEALTH SANITATION INSPECTION,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.
DC14230,02/24/2014,PUBLIC HEALTH SANITATION INSPECTION,There were no new violations observed at the time of this inspection/visit.
